title,link
GPT-5,https://openai.com/gpt-5/
"GPT-5: Key characteristics, pricing and system card",https://simonwillison.net/2025/Aug/7/gpt-5/
Historical Tech Tree,https://www.historicaltechtree.com/
Benchmark Framework Desktop Mainboard and 4-node cluster,https://github.com/geerlingguy/ollama-benchmark/issues/21
GPT-5 for Developers,https://openai.com/index/introducing-gpt-5-for-developers
Building Bluesky comments for my blog,https://natalie.sh/posts/bluesky-comments/
"Show HN: Octofriend, a cute coding agent that can swap between GPT-5 and Claude",https://github.com/synthetic-lab/octofriend
Encryption made for police and military radios may be easily cracked,https://www.wired.com/story/encryption-made-for-police-and-military-radios-may-be-easily-cracked-researchers-find/
Infinite Pixels,https://meyerweb.com/eric/thoughts/2025/08/07/infinite-pixels/
Windows XP Professional,https://win32.run/
DNA tests are uncovering the true prevalence of incest (2024),https://www.theatlantic.com/health/archive/2024/03/dna-tests-incest/677791/
How to sell if your user is not the buyer,https://writings.founderlabs.io/p/how-to-sell-if-your-user-is-not-the
Foundry (YC F24) is hiring staff-level product engineers,https://www.ycombinator.com/companies/foundry/jobs/jwdYx6v-founding-product-engineer
Lightweight LSAT,https://lightweightlsat.com/
Open music foundation models for full-song generation,https://map-yue.github.io/
Show HN: Browser AI agent platform designed for reliability,https://github.com/nottelabs/notte
Gemini CLI GitHub Actions,https://blog.google/technology/developers/introducing-gemini-cli-github-actions/
How AI conquered the US economy: A visual FAQ,https://www.derekthompson.org/p/how-ai-conquered-the-us-economy-a
A generic non-invasive neuromotor interface for human-computer interaction,https://www.nature.com/articles/s41586-025-09255-w
Laptop Support and Usability (LSU): July 2025 Report,https://github.com/FreeBSDFoundation/proj-laptop/blob/main/monthly-updates/2025-07.md
Monte Carlo Crash Course: Quasi-Monte Carlo,https://thenumb.at/QMC/
Leonardo Chiariglione: “I closed MPEG on 2 June 2020”,https://leonardo.chiariglione.org/
GPT-5 Hot Take,https://garymarcus.substack.com/p/gpt-5-hot-take
Italy's pizza detectives,https://www.bbc.com/travel/article/20250801-italys-undercover-pizza-detectives
Jepsen: Capela dda5892,https://jepsen.io/analyses/capela-dda5892
The Sunlight Budget of Earth,https://www.asimov.press/p/sunlight-budget
OpenAI's new open-source model is basically Phi-5,https://www.seangoedecke.com/gpt-oss-is-phi-5/
"Zero-day flaws in authentication, identity, authorization in HashiCorp Vault",https://cyata.ai/blog/cracking-the-vault-how-we-found-zero-day-flaws-in-authentication-identity-and-authorization-in-hashicorp-vault/
Preventing ZIP parser confusion attacks on Python package installers,https://blog.pypi.org/posts/2025-08-07-wheel-archive-confusion-attacks/
Arm desktop: emulation,https://marcin.juszkiewicz.com.pl/2025/07/22/arm-desktop-emulation/
